altura,6tado,idade,peso,sexo,renda,tempo_carteira_assinada,estado_civil,score
1.71,20,63,60,0,1540,50,1,573
1.79,5,75,56,0,1144,46,1,351
1.64,6,41,82,0,1604,16,1,116
1.81,13,43,73,0,1741,36,3,147
1.81,17,33,47,0,2074,12,3,598
1.74,11,54,102,1,1248,10,3,335
1.6,6,59,74,0,1613,47,2,580
1.9,16,23,102,1,1189,14,0,684
1.78,22,47,51,0,1084,48,1,584
1.85,22,34,97,1,1258,14,2,633
1.55,19,57,68,0,4709,30,1,275
1.68,1,25,76,0,5652,19,2,487
1.98,2,52,89,1,3997,22,3,591
1.51,7,80,55,0,1357,14,1,707
1.65,11,53,70,0,1244,6,1,575
1.73,23,75,77,0,2607,25,2,450
1.83,11,26,80,1,3635,22,0,521
1.86,1,58,107,1,1110,44,3,709
1.7,17,52,81,1,1129,32,2,398
1.61,20,77,58,0,2598,1,2,678
1.53,15,79,85,0,1364,30,2,625
1.78,20,65,67,0,9022,49,1,643
1.84,6,28,66,0,3647,57,2,381
1.68,13,28,108,1,1649,52,3,517
1.93,7,46,53,1,1437,29,0,260
1.69,21,53,86,0,1554,40,0,532
1.75,18,59,64,1,1774,44,2,288
1.74,25,41,54,1,1694,34,2,325
1.82,16,34,80,1,4257,55,1,344
1.77,19,60,51,0,1144,50,1,544
1.87,10,53,63,1,1117,6,0,587
1.94,17,35,52,1,1112,34,1,583
1.71,14,64,88,0,1450,37,1,372
1.73,20,18,99,1,1180,11,2,337
1.76,17,53,76,0,1302,42,0,195
1.89,7,51,104,1,1184,34,0,112
1.66,15,71,84,1,3730,19,3,80
1.89,16,31,110,1,1656,20,1,364
1.79,23,21,57,1,1358,17,0,131
1.93,1,73,82,1,3898,31,1,694
1.78,18,79,77,0,2206,48,3,506
1.78,18,63,81,1,1062,40,1,696
1.8,6,63,51,0,2095,50,2,304
1.55,23,76,89,0,5614,31,3,444
1.61,1,72,70,1,1703,32,1,574
1.71,16,70,85,1,1045,47,1,172
1.67,6,49,86,0,7593,37,3,41
1.68,25,29,46,0,1625,14,0,428
1.63,5,31,59,0,1439,8,1,601
1.68,9,47,52,0,2977,42,3,279
1.69,20,40,103,1,1309,37,0,513
1.84,13,28,107,1,986,29,0,826
1.77,11,47,48,0,1132,26,0,701
1.82,19,76,87,0,1494,29,3,689
1.59,10,40,87,0,1735,12,3,936
1.75,6,66,51,0,2969,10,1,849
1.92,22,64,96,1,2572,25,1,187
1.55,8,38,71,0,2127,45,3,390
1.7,16,19,47,0,3269,23,1,553
1.73,17,48,80,1,1466,56,1,623
1.73,19,76,105,1,1567,39,1,979
1.83,16,55,74,0,1624,22,0,289
1.77,19,47,79,1,1145,9,1,272
1.61,11,68,67,1,1772,4,0,142
1.51,9,41,70,0,1365,47,0,343
1.65,21,52,63,0,2068,52,1,598
1.78,17,66,87,0,1341,28,0,755
1.62,20,32,67,0,1605,38,1,423
1.98,23,52,67,1,4857,8,1,560
1.67,2,28,69,0,1336,1,3,518
1.94,19,32,67,1,1559,52,1,711
1.62,5,28,68,0,1552,45,1,286
1.64,21,64,105,1,1869,16,1,252
1.7,21,67,61,1,1554,2,0,485
1.73,26,72,55,1,1611,51,1,846
1.73,26,74,104,1,1524,19,1,683
1.74,11,34,74,1,1331,56,0,439
1.82,15,55,79,0,1605,22,1,733
1.81,16,25,94,1,1670,40,0,360
1.59,1,32,80,0,1614,59,1,640
1.84,19,72,59,0,2147,19,2,503
1.72,15,56,78,1,1505,46,0,825
1.78,9,22,82,1,1107,23,0,357
1.88,10,22,104,1,1170,17,0,264
1.76,10,65,79,0,1487,31,0,261
1.71,8,35,93,1,1438,26,1,663
1.82,17,23,79,0,1090,10,3,804
1.55,5,21,57,0,1590,56,0,680
1.79,5,78,99,1,2093,44,1,751
1.6,11,26,85,0,2523,4,0,472
1.69,20,33,53,0,1482,27,2,868
1.84,23,56,68,1,1086,49,2,304
1.68,17,67,77,1,1331,57,1,589
1.71,23,55,66,0,1508,21,0,513
1.5,20,55,60,0,2924,38,2,566
1.71,5,24,86,1,3057,20,2,376
1.54,23,75,71,0,2122,2,0,488
1.81,3,50,73,0,1274,44,1,561
1.79,19,71,50,0,1305,11,1,923
1.78,3,63,105,1,1259,1,0,626
2,12,37,95,1,1559,18,0,421
1.66,13,80,80,0,1573,35,1,629
1.8,23,80,97,1,6282,16,2,684
1.53,24,54,73,0,3597,25,3,461
1.93,0,52,59,1,1049,52,2,511
1.82,24,63,81,0,1451,30,3,578
1.56,21,73,89,0,1522,33,2,511
2,20,61,104,1,1502,58,3,205
1.76,25,22,92,1,1441,7,1,143
1.72,26,61,57,1,1237,4,0,583
1.9,5,66,59,1,1592,29,2,921
1.57,26,35,67,0,1437,48,0,237
1.99,23,69,54,1,3074,24,0,619
1.56,23,77,66,0,4683,8,3,780
1.65,10,31,76,0,5005,52,1,615
1.73,3,67,72,1,2233,48,2,588
1.65,1,20,110,1,917,53,2,364
1.96,4,67,103,1,2356,57,3,207
1.75,3,64,71,0,1484,47,1,333
1.6,4,74,69,0,3322,47,3,400
1.68,19,76,49,0,1537,5,2,810
1.73,24,43,66,0,2668,42,2,667
1.93,4,27,93,1,1101,21,2,747
1.59,14,26,89,0,2370,57,1,986
1.82,11,68,82,1,1156,2,0,435
1.87,20,63,109,1,3575,1,0,255
1.79,10,37,83,0,1294,34,1,748
1.86,11,46,68,1,1477,57,1,669
1.69,1,39,87,1,1271,24,1,317
1.66,12,40,82,0,1934,27,1,465
1.56,10,48,76,0,3632,1,1,798
1.81,22,24,71,1,5280,16,2,448
1.77,14,74,53,1,1457,32,3,403
1.87,19,70,85,1,1569,50,1,349
1.52,15,32,73,0,1522,55,0,404
1.58,12,52,81,0,2786,59,2,757
1.73,4,31,72,0,2951,54,0,497
1.68,26,46,60,0,1962,17,3,824
1.81,19,54,70,1,1498,32,1,748
1.75,23,78,72,0,3517,21,0,587
2,16,45,84,1,1383,2,2,545
1.53,0,20,66,0,2753,9,1,687
1.96,5,36,86,1,1402,31,1,994
1.61,12,55,88,0,1502,4,1,629
1.71,5,43,104,1,1730,18,2,610
1.83,14,71,71,0,1013,27,0,336
1.52,14,19,83,0,1832,6,2,686
1.7,26,44,56,1,3535,40,1,406
1.65,25,78,53,1,1961,14,2,446
1.96,1,32,94,1,1995,56,2,547
1.64,17,71,84,1,2155,52,2,710
1.86,17,34,103,1,1493,19,0,485
1.84,0,26,105,1,1649,43,2,551
1.71,17,50,107,1,1191,19,0,331
1.58,4,47,90,0,1820,44,1,317
1.79,19,52,67,0,1377,15,3,362
1.68,0,77,109,1,1384,16,0,388
1.58,20,22,59,0,1811,14,0,523
1.7,0,41,70,1,1290,38,1,518
1.51,3,52,64,0,1601,42,0,558
1.8,12,22,107,1,947,53,1,641
1.8,25,59,97,1,1779,14,0,643
1.8,23,20,53,0,2697,30,3,388
1.77,2,52,97,1,1724,38,1,528
1.6,23,66,51,0,6760,58,1,935
2,26,20,77,1,1061,57,0,763
1.57,9,64,76,0,1042,14,0,549
1.71,16,58,75,0,1402,55,2,688
1.87,15,68,77,1,1008,57,1,437
2,23,78,66,1,1706,10,0,283
1.85,0,29,49,0,1134,22,0,861
1.77,25,24,62,1,5556,26,3,870
1.7,18,73,87,1,1111,46,1,563
1.71,4,23,58,1,3644,32,2,946
1.61,23,42,73,0,1789,2,0,402
1.79,6,36,108,1,4266,12,0,675
1.78,17,31,75,0,2692,30,2,252
1.77,26,53,79,1,981,25,2,662
1.77,14,72,110,1,1167,5,2,554
1.68,26,32,74,0,1324,11,2,487
1.52,24,76,82,0,1344,17,3,777
1.79,5,38,74,0,1331,50,3,396
1.68,26,48,60,1,1221,1,0,19
1.66,3,23,71,0,1741,12,2,416
1.76,2,49,54,1,2091,53,3,521
1.86,0,18,110,1,1259,10,2,842
1.98,23,54,70,1,1970,19,0,539
1.63,5,50,107,1,1708,3,1,717
1.65,8,67,86,1,963,25,1,167
1.73,7,44,89,1,1316,17,0,70
1.81,23,35,69,0,2706,59,3,150
1.8,18,40,57,0,1741,13,1,552
1.56,15,73,71,0,1436,46,0,579
1.55,13,60,82,0,1330,8,0,46
1.62,9,19,68,0,4764,22,0,398
1.62,3,79,74,1,1377,3,3,710
1.86,18,21,55,1,1520,37,3,491
1.95,23,73,89,1,4239,23,1,461
1.91,0,74,102,1,1620,53,0,83
1.63,26,29,49,0,2071,25,2,742
1.65,7,47,94,1,1110,29,1,553
1.81,0,56,47,0,1432,28,2,247
1.78,24,28,79,0,1059,41,2,310
1.84,7,64,55,0,1939,6,0,629
1.64,14,31,89,0,3738,4,1,410
1.81,24,58,59,0,1312,48,2,6
1.99,19,56,53,1,2062,30,2,424
1.84,17,38,62,0,1375,6,2,540
1.79,8,46,55,1,3440,52,0,553
1.66,8,57,88,1,1127,59,0,736
1.73,4,35,106,1,1512,5,1,629
1.88,16,25,81,1,1475,20,0,722
1.84,24,19,109,1,1679,29,1,555
1.81,5,32,87,1,5356,35,0,408
1.82,0,78,90,0,1450,6,1,776
1.6,20,56,64,0,1505,53,3,364
1.8,2,20,110,1,1701,53,0,268
1.84,0,65,86,0,1747,46,1,649
1.65,7,47,48,0,1250,39,1,360
1.54,3,31,49,0,3081,40,2,418
1.64,21,29,51,0,2175,11,0,742
1.64,20,63,98,1,1836,16,2,395
1.7,20,52,76,1,1266,57,0,548
1.61,11,55,61,0,1143,10,1,223
1.82,13,69,60,1,1710,1,0,705
1.73,7,30,60,0,1509,23,3,427
1.5,16,40,46,0,1086,18,2,494
1.74,10,31,62,1,2179,59,3,3
1.74,21,74,61,1,3943,24,0,176
1.79,10,78,50,1,1916,34,1,207
1.8,19,50,106,1,1156,6,3,547
1.9,18,51,79,1,2143,5,1,538
1.6,10,65,54,0,2167,49,3,399
1.6,25,77,57,0,2393,34,2,737
1.53,18,30,76,0,1186,13,0,608
1.74,24,54,45,0,2117,12,2,233
1.66,19,31,96,1,2010,28,2,322
1.81,22,76,86,1,1325,20,2,361
1.7,3,51,107,1,1146,14,0,706
1.96,16,79,85,1,1392,40,1,656
1.82,0,53,66,1,1610,32,3,584
1.6,16,22,66,0,2812,41,2,703
1.97,12,40,82,1,1464,34,0,80
1.6,17,38,104,1,1353,29,0,376
1.66,13,70,69,1,1191,7,0,613
1.7,7,50,48,0,2051,22,0,618
1.63,7,37,52,1,1725,44,1,928
1.66,3,55,74,0,1971,27,1,497
1.89,24,28,96,1,3473,56,2,869
1.82,21,80,84,1,3044,4,1,547
1.67,24,79,55,0,1484,8,0,363
1.79,13,69,54,1,1421,54,1,336
1.88,11,28,78,1,5647,30,2,691
1.97,9,70,79,1,2553,48,2,719
1.6,17,80,61,0,1361,11,1,583
1.72,23,41,81,1,1419,38,1,529
1.6,23,67,73,1,1516,47,1,638
1.98,2,18,101,1,2138,44,2,860
1.65,4,20,66,1,5482,13,2,279
1.52,26,70,66,0,2899,34,1,275
1.8,0,43,72,0,1266,12,1,579
1.7,19,67,84,1,1934,58,3,606
1.86,18,24,75,1,1274,41,0,566
1.66,25,30,82,1,2138,14,1,284
1.53,26,62,88,0,2543,42,2,451
1.76,21,42,57,1,1471,54,1,484
1.64,11,19,88,0,1871,27,0,886
1.77,22,62,86,0,4724,17,2,532
1.84,17,74,45,0,1842,1,0,488
1.62,2,36,50,0,2238,7,0,548
1.6,21,36,91,1,1646,41,3,449
1.97,23,73,101,1,966,15,2,153
1.74,3,60,55,0,1414,11,2,729
1.84,22,35,51,1,2024,15,0,341
1.7,5,73,73,0,1626,39,2,526
1.56,23,43,87,0,1041,4,3,419
1.84,23,20,63,1,1236,6,1,287
1.55,23,76,66,0,1658,36,3,380
1.53,25,53,80,0,1606,9,0,38
1.74,6,70,90,0,1988,30,1,476
1.64,20,67,84,0,1968,6,1,773
1.92,0,79,77,1,1735,18,1,718
1.66,22,21,102,1,1585,58,1,450
1.78,21,32,90,1,1363,15,0,666
1.63,1,76,63,0,1709,45,1,725
1.65,10,62,60,0,1640,21,0,16
1.69,3,58,71,0,1453,42,1,311
1.67,6,34,61,0,1129,46,0,543
1.87,25,49,99,1,1022,25,0,194
1.76,5,44,50,1,1180,28,0,633
1.78,19,55,76,0,1503,7,2,642
1.79,26,55,79,1,5042,23,0,525
1.71,17,55,90,1,1146,29,0,409
1.78,21,76,68,0,1348,33,3,297
1.7,7,44,71,0,1393,10,0,698
1.78,21,65,68,1,3153,54,0,495
1.95,14,42,108,1,1526,34,0,297
1.87,24,55,104,1,1225,2,0,57
1.83,1,78,79,0,1319,53,0,666
1.67,23,42,62,0,1197,5,1,558
1.8,1,77,107,1,1866,13,3,143
1.93,4,65,72,1,1032,7,0,414
1.74,19,76,72,0,1253,40,0,78
1.63,5,56,54,1,1740,35,1,262
1.74,9,79,91,1,1259,42,0,533
1.71,23,34,90,0,1140,45,0,22
1.75,15,69,77,0,2148,26,0,881
1.8,1,31,92,1,1553,23,0,873
1.86,8,24,86,1,1759,18,2,395
1.92,22,76,86,1,2329,7,1,497
1.83,10,55,73,0,1446,29,0,370
1.72,19,65,109,1,1306,54,0,233
1.68,21,69,65,1,4024,20,2,502
1.93,16,76,77,1,4477,52,0,808
1.54,4,32,62,0,1334,17,1,610
1.63,9,22,90,0,2074,22,2,749
1.67,26,45,52,1,2546,7,0,595
1.66,16,72,78,1,1662,13,2,369
1.92,18,40,90,1,1387,9,1,703
1.62,2,29,56,0,929,24,0,622
1.77,24,58,90,1,1701,23,3,411
1.54,26,37,75,0,1002,37,1,598
1.77,5,19,71,1,1515,50,0,318
1.81,15,74,89,1,1380,17,0,88
1.74,22,67,51,0,2021,17,0,260
1.74,15,69,66,0,1168,14,3,488
1.53,17,77,70,0,1335,4,0,682
1.77,3,74,57,0,1771,56,3,547
1.67,2,19,54,0,1314,41,1,415
1.66,2,65,79,0,1072,44,1,688
1.98,5,70,63,1,1191,15,0,813
1.55,20,65,45,0,2291,11,0,354
1.92,4,38,62,1,3666,20,2,401
1.64,10,39,66,1,1434,52,1,456
1.83,11,52,102,1,1576,3,0,739
1.68,16,51,80,0,1117,26,1,139
1.74,23,49,79,0,1023,12,0,602
1.68,2,56,79,0,1102,45,0,702
1.7,25,36,54,1,2388,50,1,115
1.8,4,59,59,0,1399,47,3,413
1.88,17,65,53,1,1257,24,0,125
1.73,23,39,79,1,1855,42,2,189
2,21,59,102,1,6095,37,0,513
1.72,0,35,93,1,1783,57,0,196
1.74,7,59,68,1,7593,47,0,461
1.73,23,80,52,0,2120,10,0,611
1.81,8,71,94,1,5117,51,0,215
1.85,9,30,53,1,1038,23,2,809
1.9,16,25,64,1,1836,21,3,349
1.83,20,30,74,0,2820,56,1,313
1.64,12,22,88,1,2683,56,2,913
1.63,18,20,85,1,1653,8,0,418
1.96,5,41,84,1,1421,44,1,842
1.63,18,18,99,1,3058,2,0,490
1.88,3,61,76,1,1108,5,3,405
1.58,24,70,73,0,3272,9,0,512
1.94,21,18,52,1,1209,18,1,986
1.73,14,35,67,0,1486,9,0,287
1.54,11,76,66,0,1733,34,0,375
1.81,8,68,86,1,2112,35,2,961
1.99,0,49,75,1,2696,5,0,521
1.7,20,78,63,0,1444,5,1,374
1.75,20,75,94,1,2638,36,1,502
1.77,25,69,83,0,1518,58,1,498
1.84,0,48,66,0,1832,31,3,963
1.88,7,31,60,1,1045,34,0,672
1.64,0,24,74,0,1411,38,3,503
1.67,19,39,83,0,2983,3,0,600
1.57,18,44,54,0,1834,26,0,443
1.84,8,80,58,0,2058,21,1,863
1.88,20,57,98,1,1495,47,1,373
1.74,20,18,56,0,1793,41,1,407
1.85,19,64,52,0,1649,1,3,673
1.87,22,76,106,1,1197,47,2,262
1.79,2,69,84,0,1461,40,1,676
1.82,0,19,89,0,1531,27,2,852
1.75,21,51,62,1,1297,3,2,519
1.76,26,26,46,0,988,7,1,395
1.68,3,26,53,0,8721,48,2,375
1.98,6,40,87,1,2624,54,1,154
1.71,20,50,62,0,2201,16,1,181
1.61,17,78,75,1,1522,45,1,600
1.75,2,36,54,1,1691,36,1,437
1.85,15,35,73,0,1401,49,1,902
1.71,11,30,102,1,2160,32,2,605
1.68,22,67,61,0,1462,37,1,579
1.93,22,37,62,1,1870,44,2,721
1.8,11,54,74,1,1013,19,3,344
1.77,4,79,46,0,1522,26,1,359
1.66,0,69,60,0,1379,47,1,285
1.64,9,23,90,1,1584,58,1,494
1.72,1,59,75,1,1184,32,1,926
1.51,4,25,58,0,1245,54,3,337
1.93,25,47,86,1,1541,42,0,407
1.68,11,44,56,0,1515,51,1,496
1.65,14,76,98,1,1317,59,0,739
1.84,11,35,91,1,1044,19,0,437
1.63,15,27,65,1,1096,27,1,564
1.89,24,65,110,1,1432,19,1,955
1.83,16,61,82,0,1393,51,3,102
1.57,22,58,81,0,1817,52,1,388
1.97,23,47,108,1,1490,20,2,710
1.7,12,64,85,0,1482,55,2,705
1.65,14,71,76,0,3916,11,0,460
1.81,26,65,107,1,1997,12,1,493
1.73,5,79,53,0,3411,22,2,32
1.78,5,22,109,1,1128,45,1,407
1.77,8,21,56,0,1217,52,0,571
1.59,6,28,54,0,1405,8,2,717
1.66,16,32,90,1,1279,52,0,688
1.83,15,39,49,0,1904,9,1,143
1.8,5,49,89,0,1447,4,1,471
1.85,25,55,49,0,2916,17,1,502
1.86,23,56,71,1,2152,32,0,733
1.83,12,80,97,1,2574,56,2,457
1.65,23,30,98,1,2073,27,1,475
1.72,1,61,52,1,1906,15,2,682
1.79,5,67,69,0,1013,33,2,138
1.66,18,26,78,0,1831,11,2,632
1.85,22,59,55,0,1892,36,0,194
1.73,16,20,63,0,1569,27,0,584
1.71,5,78,49,0,1844,5,3,641
1.85,26,46,45,0,1599,24,0,549
1.54,16,75,52,0,1716,20,1,365
1.84,5,60,83,0,2894,15,2,556
1.84,16,62,71,1,1597,53,0,687
1.99,23,44,60,1,1673,14,0,739
1.61,25,65,52,0,1507,50,3,286
1.68,5,72,88,1,9322,12,0,403
1.88,25,71,75,1,3697,40,3,449
1.7,6,22,51,0,1105,42,0,661
1.61,13,68,59,1,2294,58,2,90
1.76,10,57,100,1,4188,40,3,554
1.94,17,24,108,1,3748,37,0,141
1.8,23,62,83,0,2074,16,2,372
1.81,23,49,104,1,1148,16,1,887
1.99,26,51,50,1,1203,21,1,264
1.63,18,45,109,1,1520,55,3,657
1.93,10,62,105,1,2367,54,1,543
1.75,22,73,80,0,1461,53,1,480
1.81,9,43,102,1,3703,59,2,787
1.82,12,51,53,0,1339,9,2,300
1.63,19,39,56,0,1424,13,3,245
1.72,26,80,76,1,2503,4,0,719
1.89,3,38,72,1,1432,27,2,668
1.94,18,26,67,1,3577,31,0,521
1.76,8,30,96,1,1919,54,1,369
1.63,5,37,87,0,1813,38,1,286
1.85,4,28,62,1,3078,2,2,664
1.62,22,39,59,0,1358,29,1,398
1.94,1,77,65,1,1877,22,0,527
1.85,2,68,59,1,1713,57,1,254
1.71,7,36,69,1,1298,2,2,127
1.64,16,42,71,1,1075,3,0,403
1.57,24,57,86,0,2089,9,1,963
1.59,20,33,87,0,1231,46,2,320
1.89,0,28,60,1,3296,26,0,262
1.58,4,57,65,0,1129,34,0,711
1.94,9,46,63,1,1357,14,1,925
1.75,5,70,83,1,891,39,0,646
1.92,5,71,103,1,1310,15,0,71
1.75,1,65,59,1,1334,29,2,602
1.63,14,59,82,0,1237,12,0,104
1.6,23,50,105,1,1598,2,2,304
1.71,23,66,63,0,1330,47,3,530
1.7,10,67,74,1,3959,32,2,635
1.66,15,27,53,1,1312,17,2,532
1.71,2,27,75,0,1390,23,2,439
1.93,14,64,61,1,1540,15,1,600
1.82,10,23,56,0,859,48,1,338
1.67,26,68,85,0,1816,27,2,368
1.91,0,53,74,1,1092,31,0,251
1.93,21,39,67,1,1234,38,1,423
1.58,24,34,77,0,1364,40,0,656
1.65,16,66,104,1,1026,33,2,411
1.78,7,59,69,1,1547,5,0,653
1.65,1,54,82,0,5188,43,3,493
1.78,17,52,69,0,1024,17,0,538
1.85,2,37,64,0,1560,44,1,212
1.79,19,59,50,0,1179,58,1,733
1.78,13,56,69,0,2083,48,2,149
1.73,1,70,67,1,3827,9,2,544
1.69,26,21,76,0,1577,31,3,922
1.76,9,62,79,0,1466,50,0,614
1.85,8,80,53,0,1248,39,2,87
1.73,16,71,77,0,2599,10,2,729
1.57,16,72,67,0,1530,59,0,224
1.83,0,43,70,0,1941,50,0,658
1.69,24,74,72,0,1521,38,0,126
1.74,11,58,50,1,1349,14,3,744
1.81,14,72,45,0,965,14,0,804
2,22,76,93,1,1726,49,2,415
1.68,1,60,66,0,2219,15,1,546
2,16,63,108,1,1205,25,1,404
1.85,16,75,89,1,2049,56,3,523
1.92,10,38,85,1,1138,5,3,818
1.62,0,37,102,1,1986,17,0,376
1.82,20,33,87,0,1627,6,3,744
1.54,3,40,63,0,1344,35,0,456
1.66,6,80,97,1,3301,29,1,323
1.64,3,63,67,1,1485,23,3,606
1.97,5,60,101,1,2002,9,2,113
1.71,3,56,49,0,1310,34,2,732
1.65,4,25,52,1,1249,18,3,727
1.65,0,30,62,0,1835,5,0,581
1.75,11,62,84,0,1370,48,3,737
1.59,17,49,79,0,1213,19,2,715
1.94,15,24,57,1,997,38,1,162
1.67,11,55,58,1,1707,49,1,474
1.68,5,43,101,1,1597,23,2,475
1.64,6,75,69,1,1279,9,0,466
1.73,1,54,64,0,3461,26,0,380
1.61,18,45,55,0,1991,55,0,254
1.81,21,68,78,0,1623,46,2,90
1.61,11,33,75,0,1257,19,1,464
1.61,21,46,67,0,1105,47,1,563
1.66,14,54,110,1,1696,21,2,946
1.63,16,78,64,0,979,17,1,335
1.98,3,56,108,1,1068,47,1,734
1.75,9,77,68,1,3025,37,1,823
1.6,11,64,71,1,1277,3,0,166
1.7,18,80,78,0,3714,53,2,486
1.92,2,57,99,1,1398,13,0,52
1.68,26,66,82,0,2268,28,0,707
1.65,0,79,51,1,2214,42,1,575
1.54,12,58,76,0,1662,24,2,748
1.8,26,49,93,1,1719,6,0,536
1.61,22,24,66,1,1590,46,2,584
1.83,20,27,73,0,2150,45,2,731
1.97,4,56,86,1,3634,37,1,324
1.82,10,77,101,1,1078,13,0,127
1.54,24,64,74,0,1602,20,1,563
1.61,12,30,72,0,3773,36,2,339
1.77,1,65,48,0,1262,54,0,740
1.51,16,25,50,0,3454,29,0,373
1.6,16,40,84,0,2084,10,1,566
1.71,3,78,58,0,1135,9,1,646
1.69,25,76,48,0,1136,10,2,523
1.91,17,24,71,1,1169,43,0,308
1.62,7,21,81,0,1628,27,1,595
1.64,12,65,46,0,1282,53,2,387
1.72,16,49,76,0,1966,25,0,722
1.8,20,54,84,0,1084,40,1,674
1.95,20,20,87,1,3794,40,3,365
1.65,20,50,83,0,1533,29,3,608
1.63,13,26,70,0,3120,12,0,151
1.65,1,68,72,1,1502,9,1,615
1.79,20,63,68,0,1951,52,3,402
1.54,26,53,90,0,1391,58,3,71
1.85,6,41,77,1,1433,55,0,588
1.79,0,20,88,1,2376,50,0,679
1.78,16,30,45,0,2296,10,0,695
1.61,13,23,96,1,3199,14,3,730
1.63,23,25,93,1,970,30,2,810
1.54,19,74,47,0,1273,10,0,107
1.82,11,48,76,0,1532,2,3,323
1.76,16,69,92,1,1819,42,1,276
